input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
393,45,6,0,342,1
615,65,38,0,512,2
541,73,73,0,395,3
791,72,9,0,710,4
462,61,18,0,383,5
367,66,76,0,225,6
849,81,0,0,768,7
317,40,18,0,259,8
310,45,8,0,257,9
307,41,22,0,244,10
