n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
11,1,0.9991152417185425,0.8045977011494253,26.367745240235998,0.0,-0.5889327856509484,4,2,0.7508609501227463,8,40,1,20,155.2
20,2,1.0000812744451453,0.9226464779460171,23.756018973118607,0.0,-0.5003800182679717,3,2,0.4642900680648734,9,25,2,12,80.3
22,2,1.0000446229528561,0.9092827004219409,25.956388070851204,0.0,-0.5325707514839341,5,1,0.846495201681048,9,60,1,30,327.5
14,2,1.0000063314577763,1.0,17.972902537326334,0.0,-0.3818112528554803,2,3,0.5799374372718651,3,80,1,40,213.0
13,0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,69.7
12,1,1.000048289998893,0.9523809523809523,25.836183979275617,0.0,-0.510090004237762,2,2,0.6683892225807853,8,25,1,12,63.3
24,3,1.0000390719672256,0.9559990145356,20.700931176134542,0.0,-0.4438598216288119,3,2,0.6296755058864988,8,60,2,30,204.6
17,4,0.9993597791200944,0.8436291134103152,22.274307892203957,0.0,-0.5201408104879206,3,2,0.42512155011143965,8,80,1,40,230.0
20,5,0.9955669351342826,0.93967355338202,24.83532313335732,0.0,-0.4994611997466486,5,4,0.85,3,80,2,40,457.0
4,0,1.0,0.0,inf,0.0,-inf,2,4,0.4,12,60,1,30,110.4
