n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
5,0.9917265176773071,0.8767707709303514,5.907357692718506,0.0,-1.1331172849379816,4,2,0.7508609501227463,8,40,1,20,82.5
1,0.9992857712071965,0.9223529411764706,7.455821772701286,0.0,-1.178565852016081,3,2,0.4642900680648734,9,25,2,12,61.1
1,0.9999887943267822,0.6116504854368932,5.6438984870910645,0.0,-1.262273225433269,5,1,0.846495201681048,9,60,1,30,94.0
135,0.9268511858883957,0.8792176100572956,6.648018296259301,0.0,-1.097576351271615,2,3,0.5799374372718651,3,80,1,40,372.8
0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,51.2
0,1.0,0.0,inf,0.0,-inf,4,2,0.40596923252193995,11,60,1,30,84.7
2,0.9992717504501343,0.9177215189873418,7.363039970397949,0.0,-1.1775575891027454,2,2,0.5084614597117053,9,60,2,30,63.9
0,1.0,0.0,inf,0.0,-inf,3,2,0.48200623950462806,10,40,1,20,63.0
10,0.9821474552154541,0.8913459964193994,7.348854064941406,0.0,-1.1731117445197254,4,1,0.7790281485677495,7,40,2,20,128.1
4,0.9918654561042786,0.8639500257027009,7.174465179443359,0.0,-1.1901950312034542,4,2,0.6566997884824297,8,80,2,40,86.7
97,0.936624103647322,0.8811358665465756,6.606456525160307,0.0,-1.1047553991998282,3,2,0.639870656897029,4,80,1,40,324.2
4,0.9918038249015808,0.8577680337245172,7.174481391906738,0.0,-1.1932249909809682,4,1,0.8414376115993174,8,60,2,30,100.1
40,0.9819158964683083,0.9109834328835655,6.20501829802417,0.0,-1.1188575107495882,2,3,0.42780200776846156,6,80,1,40,133.0
7,0.9863247706454913,0.9298127766935943,6.286676941232939,0.0,-1.1172326635375605,4,4,0.8419412448204926,8,25,1,12,73.7
55,0.9708330451051335,0.9038620198256235,6.216448008905658,0.0,-1.1118108950896595,2,3,0.5494114279231453,5,80,1,40,188.7
7,0.9815661818024616,0.8476992742874527,7.254572734904848,0.0,-1.190946739966566,5,1,0.85,7,25,2,12,101.8
7,0.9815661818024616,0.8476992742874527,7.254572734904848,0.0,-1.190946739966566,5,4,0.85,7,25,2,12,99.8
2,0.9979385164676203,0.9120056497175142,6.706240448349204,0.0,-1.1545448261473676,5,1,0.85,9,25,2,12,59.0
2,0.9992717504501343,0.9177215189873418,7.363039970397949,0.0,-1.1775575891027454,2,2,0.5115520660054861,9,60,2,30,64.4
1,0.9992857712071965,0.9223529411764706,7.455821772701286,0.0,-1.178565852016081,3,2,0.4666312496675282,9,25,2,12,61.2
4,0.9918654561042786,0.8639500257027009,7.174465179443359,0.0,-1.1901950312034542,4,2,0.663127629161361,8,80,2,40,84.4
4,0.9918038249015808,0.8577680337245172,7.174481391906738,0.0,-1.1932249909809682,4,2,0.8499986867873077,8,60,2,30,98.1
7,0.9863247706454913,0.9298127766935943,6.286676941232939,0.0,-1.1172326635375605,4,4,0.8479013355541487,8,25,1,12,72.7
4,0.9918654561042786,0.8639500257027009,7.174465179443359,0.0,-1.1901950312034542,4,2,0.6807660705523357,8,80,2,40,86.5
168,0.9147980303594031,0.8646400609131836,6.616599301286796,0.0,-1.0915769951517074,2,2,0.520004825035999,3,80,1,40,427.1
0,1.0,0.0,inf,0.0,-inf,3,1,0.6901467438714934,9,60,2,30,78.3
2,0.9992717504501343,0.9177215189873418,7.363039970397949,0.0,-1.1775575891027454,2,2,0.5082194531522491,9,60,2,30,63.8
97,0.936624103609531,0.8811358665465756,6.606456597513823,0.0,-1.1047554020156727,3,2,0.6429889077154775,4,80,1,40,325.3
97,0.936624103609531,0.8811358665465756,6.606456597513823,0.0,-1.1047554020156727,3,2,0.6439125551374658,4,80,1,40,325.9
97,0.936624103609531,0.8811358665465756,6.606456597513823,0.0,-1.1047554020156727,3,2,0.6444265813109495,4,80,1,40,324.3
