input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
66,7,2,41,16,1
121,12,9,64,36,2
90,12,18,40,20,3
115,11,5,65,34,4
100,10,8,59,23,5
73,4,25,31,13,6
58,14,30,11,3,7
42,9,2,19,12,8
56,9,38,6,3,9
88,6,10,42,30,10
