input,circularity,max_area,in_mask,final,trial,circularity_rejected,max_area_rejected,in_mask_rejected
0,0.0,0.0,0.0,0,1,,,
0,0.0,0.0,0.0,0,2,,,
0,0.0,0.0,0.0,0,3,,,
174,,,,35,4,18.0,79.0,42.0
0,0.0,0.0,0.0,0,5,,,
215,,,,50,6,14.0,88.0,63.0
117,,,,16,7,12.0,67.0,22.0
244,,,,51,8,21.0,94.0,78.0
