n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
0,0,1.0,0.0,inf,0.0,-inf,4,2,0.7508609501227463,8,40,1,20,33.0
0,0,1.0,0.0,inf,0.0,-inf,3,2,0.4642900680648734,9,25,2,12,22.7
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.846495201681048,9,60,1,30,37.1
174,35,0.9955317040283446,0.9234730337485485,6.884881881220069,0.0,-0.14969584025014665,2,3,0.5799374372718651,3,80,1,40,412.5
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.85,12,80,2,40,37.1
215,50,0.9922839419710818,0.9253475708642109,6.774403756233813,0.0,-0.14092936125331978,2,3,0.5247517348880972,3,80,1,40,434.4
117,16,0.9975038407129474,0.893344207815804,6.695538984781087,0.0,-0.16019076596425658,2,3,0.5529260702675969,4,80,1,40,319.0
244,51,0.9932915456625134,0.9034330258559289,6.756445432493401,0.0,-0.15218103894475424,2,3,0.481661339177509,3,80,1,40,448.5
