n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
149,149,5717.822193729146,0.8246698332113157,20.45032836615696,0.0,-5717.324570163358,4,2,0.7508609501227463,8,40,1,20,217.5
181,181,5334.454207043359,0.8523543103691884,21.792038975947932,0.0,-5333.960749273668,3,2,0.4642900680648734,9,25,2,12,128.7
144,144,389.91334430350463,0.8179649923734297,21.013675556570035,0.0,-389.42688423650833,5,1,0.846495201681048,9,60,1,30,416.4
197,197,4967.6785323440745,0.8431119218290433,20.977987662426948,0.0,-4967.178700533628,2,3,0.5799374372718651,3,80,1,40,346.0
124,124,5497.7832630126995,0.8272670216948972,21.09742675922783,0.0,-5497.293439537767,2,3,0.5721078960702233,12,40,2,20,115.3
299,299,3293.7459691794525,0.8797551663099186,22.435086425987105,0.0,-3293.246658109604,2,4,0.4,3,60,2,30,295.4
114,114,4706.497650964274,0.8031207951092244,20.548768764540604,0.0,-4706.012441238897,5,1,0.85,12,60,1,30,282.9
144,144,389.91334898164433,0.8190389682208128,21.01395913876663,0.0,-389.42635579132707,5,1,0.8465005284362184,9,60,1,30,359.7
144,144,389.91334430350463,0.8179156752095138,21.01369506719106,0.0,-389.4269091609788,5,1,0.8464622981622293,9,60,1,30,399.9
144,144,389.91334430350463,0.8179156752095138,21.01369506719106,0.0,-389.4269091609788,5,1,0.8464609713806595,9,60,1,30,378.9
144,144,389.91334430350463,0.8179156752095138,21.01369506719106,0.0,-389.4269091609788,5,1,0.8464526477470082,9,60,1,30,390.2
144,144,389.91334430350463,0.8179649923734297,21.013675556570035,0.0,-389.42688423650833,5,1,0.8464859687894761,9,60,1,30,385.1
143,143,389.91333901819104,0.8155437735719181,20.91253299385847,0.0,-389.42671494489224,5,1,0.8464457011950344,9,60,1,30,380.1
140,140,389.91336967386013,0.8291973949914349,21.02148259821475,0.0,-389.4214277540682,5,1,0.8465461276341362,9,60,1,30,372.0
142,142,389.91328366871136,0.8108466016109667,20.884836121316134,0.0,-389.4286357180079,5,1,0.8463587676378299,9,60,1,30,394.3
