n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
22,1,0.9991152417185425,0.8045977011494253,26.367745240235998,0.0,-0.5889327856509484,4,2,0.7508609501227463,8,40,1,20,135.0
23,2,1.0000812744451453,0.9226464779460171,23.756018973118607,0.0,-0.5003800182679717,3,2,0.4642900680648734,9,25,2,12,77.4
28,2,1.0000446229528561,0.9092827004219409,25.956388070851204,0.0,-0.5325707514839341,5,1,0.846495201681048,9,60,1,30,314.2
27,2,1.0000063314577763,1.0,17.972902537326334,0.0,-0.3818112528554803,2,3,0.5799374372718651,3,80,1,40,208.3
16,0,1.0,0.0,inf,0.0,-inf,2,3,0.5721078960702233,12,40,2,20,71.1
18,2,1.0000001591705083,0.9511904761904761,25.979702923957117,0.0,-0.511831760710495,2,2,0.6683892225807853,8,25,1,12,61.6
30,9,0.9992105100021902,0.8986295511917424,25.19526338273971,0.0,-0.5272667315647632,3,2,0.649089809115627,9,60,2,30,170.1
29,7,0.9936403426780943,0.9313117495068727,25.054286561282016,0.0,-0.5039597181707114,5,4,0.85,3,80,2,40,481.1
25,2,0.9985942912314683,0.9368432114333753,25.7881416148111,0.0,-0.5154618669868113,4,2,0.4872005190680956,5,80,1,40,478.6
7,0,1.0,0.0,inf,0.0,-inf,2,4,0.4,12,60,1,30,112.5
29,4,0.9996940701188284,0.8736682808716707,22.215793302033767,0.0,-0.5047003296247421,3,3,0.6810283868997509,3,80,1,40,261.7
34,9,0.998953333633583,0.8842529185501359,21.50715820646089,0.0,-0.48867430960246605,3,4,0.6177085546229144,3,80,2,40,280.0
21,2,1.0000014470800545,0.7,12.007475154943808,0.0,-0.41856009602867167,2,3,0.4,3,80,1,40,292.9
18,1,1.0000030330755754,1.0,25.740538839105557,0.0,-0.485164102651566,3,3,0.5914389740870134,3,80,1,40,297.6
23,1,0.999873380252414,0.9523809523809523,25.565532648772628,0.0,-0.5068741400237088,3,3,0.5877131777983272,3,80,1,40,304.8
33,3,0.9998475407337887,0.92739898989899,25.53749287246527,0.0,-0.5183293189569241,2,2,0.5774352897127422,3,80,2,40,211.2
29,3,0.9972765558341774,0.9015280739161335,26.242032387501734,0.0,-0.5365545511866845,3,3,0.5903183907758334,3,80,1,40,295.3
26,5,0.9985870825313288,0.9090023554205665,21.51362944010804,0.0,-0.476530408964769,5,1,0.8161760206127264,9,25,2,12,115.1
18,1,0.9999534503760311,0.95,26.123395288764804,0.0,-0.5143792982702926,3,2,0.8299023041037352,9,25,1,12,72.7
32,2,1.0000387938026383,0.9777777777777779,14.657446751403409,0.0,-0.3353352829976431,4,1,0.6412795799928194,9,40,2,20,134.8
37,5,0.9989968744534278,0.9028745456331663,25.626853786209857,0.0,-0.5303439163813068,3,3,0.5800141000879266,3,80,1,40,301.7
27,1,1.0002392100957405,0.9239130434782609,26.06302885369398,0.0,-0.5270401054289454,3,3,0.5958160765290744,3,80,1,40,303.4
27,8,0.9960157185516714,0.9028841947765233,24.871429328436342,0.0,-0.518318170114403,5,1,0.7397078752983042,9,40,2,20,181.8
22,1,1.0000635044364465,1.0,26.44586568624038,0.0,-0.4930350204826512,2,1,0.5620586920390207,9,40,1,20,80.6
28,0,1.0,0.0,inf,0.0,-inf,2,1,0.4726033484412815,9,40,2,20,79.1
24,1,1.0000635672711609,1.0,26.445928601578867,0.0,-0.49303577101948176,2,1,0.5652194404184026,9,40,1,20,79.6
22,1,1.0000635672711609,1.0,26.445928601578867,0.0,-0.49303577101948176,2,1,0.5664784693708373,9,40,1,20,81.1
21,0,1.0,0.0,inf,0.0,-inf,2,1,0.5673587053407108,9,40,1,20,78.8
26,2,0.9992239664324609,0.9168228971378578,21.975789421305585,0.0,-0.48004621387429175,5,1,0.7929192777213867,7,60,1,30,357.8
20,3,0.9968864150807291,0.9523690675280688,25.92805966844156,0.0,-0.5072662429447382,5,1,0.85,7,60,1,30,346.0
