n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
0,0,1.0,0.0,inf,0.0,-inf,4,2,0.7508609501227463,8,40,1,20,40.9
0,0,1.0,0.0,inf,0.0,-inf,3,2,0.4642900680648734,9,25,2,12,29.4
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.846495201681048,9,60,1,30,49.5
74,9,0.9980180326906034,0.8603021852049796,4.895297969967861,0.0,-0.09781087867474356,2,3,0.5799374372718651,3,80,1,40,324.2
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.85,12,80,2,40,52.5
77,10,0.998558995914841,0.9025402963825613,4.769287019864929,0.0,-0.07065550429191077,2,3,0.5247518756298001,3,80,1,40,333.3
5,0,1.0,0.0,inf,0.0,-inf,2,3,0.49633408718612515,5,80,1,40,48.9
88,14,0.9984987693300093,0.9390270900415745,4.814520765948247,0.0,-0.05438468485371062,2,3,0.46801494590515785,3,80,1,40,345.7
