input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
16,4,4,4,4,1
19,4,13,1,1,2
13,1,3,1,8,3
86,1,57,13,15,4
6,0,6,0,0,5
29,5,12,9,3,6
141,3,71,19,48,7
61,2,11,27,21,8
2,0,2,0,0,9
114,4,55,15,40,10
