n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
30,8,0.9994127403915289,0.9036479002201372,3.234238785607112,0.0,0.021647363808907846,14,6,0.7508609501227463,8,160,1,80,1954.0
15,5,0.999544660656026,0.9052676712463461,3.2880924464672754,0.0,0.01812833957233046,10,8,0.4642900680648734,9,100,2,50,916.7
16,2,0.9991324543952942,0.9134992479761432,2.9437923431396484,0.0,0.047072946675296067,15,4,0.846495201681048,9,240,1,120,2526.8
192,22,0.9992412014922973,0.9618461627778525,3.8298005126029384,0.0,0.012375824590652366,4,10,0.5799374372718651,3,320,1,160,4163.5
1,1,0.9999695420265198,0.970873786407767,4.199379920959473,0.0,-0.008401313394381398,5,11,0.5721078960702233,12,160,2,80,464.7
26,11,0.9959099119658847,0.9314928847810695,3.5718689799034777,0.0,0.016344810537049604,15,9,0.801440910397935,8,240,1,120,3134.4
276,57,0.9986973958278972,0.9637352196209477,3.5828543256624688,0.0,0.030534051227636746,4,4,0.4,3,320,1,160,4565.4
0,0,1.0,0.0,inf,0.0,-inf,4,4,0.4,12,240,1,120,502.6
249,156,0.9886223985403692,0.9396791928855179,4.355582778506562,0.0,-0.01716841434157628,16,4,0.4,3,240,2,120,12349.9
35,17,0.9956562419662379,0.9229459916661688,3.8342232237786806,0.0,-0.004009012098008885,15,6,0.7322132851819654,7,240,1,120,3897.4
