input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial,circularity,max_area,in_mask
9,0.0,6.0,2.0,1,1,,,
3,0.0,1.0,1.0,1,2,,,
11,0.0,8.0,0.0,3,3,,,
29,0.0,24.0,2.0,3,4,,,
0,,,,0,5,0.0,0.0,0.0
0,,,,0,6,0.0,0.0,0.0
16,0.0,10.0,0.0,6,7,,,
21,0.0,14.0,1.0,6,8,,,
21,0.0,14.0,1.0,6,9,,,
21,0.0,14.0,1.0,6,10,,,
