input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
30,4,5,13,8,1
44,4,23,12,5,2
39,8,25,4,2,3
58,8,5,29,16,4
35,5,11,16,3,5
44,5,11,14,14,6
41,6,24,6,5,7
39,3,7,17,12,8
37,3,10,16,8,9
17,4,3,7,3,10
