n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
145,110,0.9929954104965425,0.880804830243782,16.282382374835585,0.0,-0.40278975200942735,4,2,0.7728918500954693,9,40,20,1,1739.6
255,117,0.9987040495826845,0.9358819781784709,15.0021506273604,0.0,-0.35780931409409117,2,2,0.6167980138986576,6,60,30,1,1944.9
184,64,0.9993883400806326,0.939255078535847,14.588294089279206,0.0,-0.34954248964920565,2,3,0.8284934481555126,5,80,40,1,877.6
359,328,0.9810896566306065,0.9184764660812296,16.383724145203104,0.0,-0.37271567819303986,4,3,0.5024732068269011,5,60,30,1,3326.0
189,124,0.9949736788707496,0.9074185484284378,15.259597595574437,0.0,-0.3730410976273598,3,1,0.8408144315945107,7,25,12,1,1584.6
215,103,0.997398171537366,0.9407654824678541,15.618100191655474,0.0,-0.36551878170297586,2,4,0.7484073472648898,5,25,12,1,1467.1
146,123,0.9859357431515445,0.8669576938189865,15.141259286788408,0.0,-0.3820502194335312,5,2,0.6624828745425461,11,40,20,1,1642.7
93,69,0.994585478210894,0.8855133026014601,15.837986426986314,0.0,-0.39467156091440686,5,1,0.8253342828823136,12,80,40,1,1146.7
89,23,1.0001181747974237,0.9155382010063629,12.286388750816098,0.0,-0.31519305316384694,2,4,0.7925770300910795,12,80,40,1,397.0
80,17,1.0001299553161813,0.9826779300204102,12.930370873011038,0.0,-0.2961220419941527,2,3,0.8444601136698213,12,40,20,1,400.9
