input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
145,21,14,0,110,1
255,23,115,0,117,2
184,21,99,0,64,3
359,18,13,0,328,4
189,21,44,0,124,5
215,27,85,0,103,6
146,15,8,0,123,7
93,14,10,0,69,8
89,11,55,0,23,9
80,6,57,0,17,10
