n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
0,0,1.0,0.0,inf,0.0,-inf,4,2,0.7508609501227463,8,40,1,20,43.2
0,0,1.0,0.0,inf,0.0,-inf,3,2,0.4642900680648734,9,25,2,12,28.9
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.846495201681048,9,60,1,30,50.6
74,10,0.9978108425234945,0.8647481571606722,4.901368649953392,0.0,-0.0955941582437916,2,3,0.5799374372718651,3,80,1,40,322.7
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.85,12,80,2,40,53.0
77,10,0.9982159744545277,0.9025402963825613,4.769287019864929,0.0,-0.07031248283159748,2,3,0.5247518816335219,3,80,1,40,334.9
5,0,1.0,0.0,inf,0.0,-inf,2,3,0.49633408411618013,5,80,1,40,48.5
88,16,0.9973837201218414,0.9296709310612242,4.952283348816065,0.0,-0.0648475118608345,2,3,0.507202172349293,3,80,1,40,333.8
