n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,stride,p,runtime_s
30,16,0.9930704112392335,0.9073530069210509,18.67819677026812,0.0,-0.4304140724043585,4,2,0.7728918500954693,9,40,20,1,530.0
59,12,0.9978023646974633,0.9407584849658023,18.354921259140383,0.0,-0.4137421875903479,2,2,0.6167980138986576,6,60,30,1,535.0
36,6,0.9984467788683045,0.9644444444444445,18.58052921115449,0.0,-0.4066393459628151,2,3,0.8284934481555126,5,80,40,1,255.5
75,59,0.9768749732689361,0.9247924958222887,18.558213093095752,0.0,-0.4024029723780189,4,3,0.5024732068269011,5,60,30,1,997.9
30,14,0.9962819412597785,0.8907526955189843,18.286771951605008,0.0,-0.4360233842435121,3,1,0.8408144315945107,7,25,12,1,537.3
39,29,0.986922321794658,0.9197617414891145,18.484995407061835,0.0,-0.41453366459064867,5,1,0.5,8,80,40,1,491.1
19,12,0.9937201201328583,0.9136271300887371,18.37892669106279,0.0,-0.4235974725202869,5,4,0.8476950612037939,12,60,30,1,407.5
35,18,0.9952835270012296,0.9417629979132242,18.33308262295178,0.0,-0.41000291527021226,3,4,0.5,9,25,12,1,488.7
23,13,0.9937350015003447,0.9015137459227145,18.28592945025266,0.0,-0.4281518070095666,5,1,0.8435623107208743,9,80,40,1,385.9
88,35,0.994692213549308,0.9516721298708631,18.505979499260953,0.0,-0.4064889475412314,2,4,0.5,5,40,20,1,730.4
