input,circularity_rejected,max_area_rejected,in_mask_rejected,final,trial
56,6,0,28,22,1
135,5,73,33,24,2
33,0,25,4,4,3
532,53,2,274,203,4
126,13,6,61,46,5
62,10,0,23,29,6
500,48,0,252,200,7
327,35,0,159,133,8
18,3,0,7,8,9
26,4,0,15,7,10
