n_neurons_pre,n_neurons,recon_error,spatial_compactness,trace_sparsity,stability,composite_score,gSig,gSig_filt,min_corr,min_pnr,rf,p,stride,runtime_s
0,0,1.0,0.0,inf,0.0,-inf,4,2,0.7508609501227463,8,40,1,20,37.2
0,0,1.0,0.0,inf,0.0,-inf,3,2,0.4642900680648734,9,25,2,12,25.6
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.846495201681048,9,60,1,30,38.2
174,36,0.9957683300152441,0.9234620306743366,6.876359623743628,0.0,-0.1495861428984524,2,3,0.5799374372718651,3,80,1,40,428.5
0,0,1.0,0.0,inf,0.0,-inf,5,1,0.85,12,80,2,40,38.9
215,49,0.9934260205972996,0.9246243720303073,6.7690593187053265,0.0,-0.14224653895076067,2,3,0.5247517351689782,3,80,1,40,454.9
117,17,0.9979500485705188,0.896522102712088,6.717628915785239,0.0,-0.15985077993658206,2,3,0.5529260702688732,4,80,1,40,330.3
244,51,0.9941122894310517,0.9015476563235003,6.762377235943836,0.0,-0.15417380718649557,2,3,0.48166350045141115,3,80,1,40,465.6
