input,circularity,max_area,in_mask,final,trial,circularity_rejected,max_area_rejected,in_mask_rejected
0,0.0,0.0,0.0,0,1,,,
0,0.0,0.0,0.0,0,2,,,
0,0.0,0.0,0.0,0,3,,,
174,,,,36,4,18.0,79.0,41.0
0,0.0,0.0,0.0,0,5,,,
215,,,,49,6,14.0,88.0,64.0
117,,,,17,7,12.0,67.0,21.0
244,,,,51,8,21.0,94.0,78.0
